Facility_ID,Overall Rating,Recommendation Score,Nurse Communication,Doctor Communication,Staff Responsiveness,Medicine Communication,Discharge Information,Care Transition,Cleanliness,Quietness
10001,89,90,89,91,80,75,85,82,82,87
10005,87,84,90,92,77,76,87,81,86,87
10006,83,80,89,89,76,70,83,76,79,87
10007,89,88,94,95,89,83,92,82,83,90
10011,86,86,90,90,83,74,85,80,79,84
10012,85,83,93,93,85,80,87,79,83,83
10016,85,83,89,91,78,71,82,78,81,79
10019,91,91,93,93,86,78,87,83,88,88
10021,90,89,92,94,88,81,85,79,86,92
10023,88,87,90,90,84,75,87,80,83,82
10024,87,86,90,90,81,72,82,80,79,82
10029,89,90,93,93,84,79,87,83,85,87
10033,90,92,92,93,82,76,89,83,81,84
10035,84,81,88,89,78,70,77,77,82,86
10036,87,82,92,92,83,74,81,79,89,86
10039,88,90,91,91,80,74,86,81,84,85
10040,83,80,89,88,79,73,82,77,75,82
10045,95,95,96,96,92,84,93,86,94,95
10046,88,88,89,87,83,75,83,81,81,88
10049,87,87,92,92,86,79,85,81,84,89
10052,91,90,95,94,92,84,91,82,88,91
10055,88,89,92,92,83,80,86,82,88,86
10056,88,89,90,92,79,73,83,81,79,86
10061,85,81,92,87,85,75,83,79,87,88
10065,88,86,92,90,87,76,86,80,85,89
10069,87,81,90,91,85,81,87,80,86,90
10078,82,78,87,87,78,70,85,77,76,86
10079,89,89,93,93,85,78,91,81,85,87
10083,90,89,94,93,89,82,88,83,86,88
10085,85,83,91,92,80,74,86,79,89,86
10086,92,91,93,94,89,76,89,84,93,91
10087,88,88,90,91,84,75,86,81,79,80
10089,82,79,89,90,79,73,83,77,77,81
10090,86,85,88,88,84,73,84,80,83,83
10092,87,84,88,90,79,75,86,78,80,83
10097,91,88,95,96,88,86,87,85,93,92
10099,87,84,91,92,88,79,90,79,83,86
10100,88,89,91,90,84,76,87,81,81,84
10101,83,79,89,85,85,75,82,80,83,87
10103,87,85,91,92,83,76,81,79,85,86
10104,89,89,90,92,80,73,85,80,79,87
10108,91,91,93,92,87,78,89,83,90,87
10112,87,83,92,94,80,75,80,80,93,86
10113,86,85,89,90,79,75,86,79,84,80
10114,82,79,89,91,78,73,79,78,78,82
10118,76,72,85,88,71,74,72,74,82,85
10125,94,93,97,96,92,89,88,84,93,93
10126,92,90,97,96,95,87,90,85,92,93
10129,91,90,94,93,87,83,86,83,94,90
10130,92,92,94,91,89,80,90,83,92,85
10131,83,83,88,89,79,70,81,78,78,83
10139,79,77,85,89,69,68,82,76,78,78
10144,89,89,89,91,83,75,87,81,77,83
10148,88,87,92,95,86,83,89,82,86,89
10149,91,91,92,92,85,78,89,81,86,86
01014F,92,90,92,96,84,82,86,84,86,84
10158,85,79,88,94,79,76,86,77,90,88
10164,87,85,89,92,82,78,85,79,83,90
10168,94,96,95,94,92,86,89,87,89,93
10169,86,81,91,92,90,80,89,80,84,86
10173,95,96,95,95,94,84,90,85,88,94
01019F,89,87,92,93,85,80,83,81,89,89
20001,89,92,92,91,83,74,90,81,87,78
20006,89,88,93,92,85,78,90,80,90,86
20008,88,88,93,93,87,84,90,83,91,86
20012,88,88,91,91,86,78,86,82,90,82
20017,86,84,89,88,81,73,87,80,82,82
20018,87,85,90,90,75,72,82,75,82,83
20024,91,92,92,92,82,80,92,84,87,82
20026,85,85,89,91,83,81,86,80,85,77
02013F,89,89,92,93,89,83,93,85,84,85
30002,87,86,90,90,80,73,84,79,81,80
30006,86,87,90,88,78,72,84,79,79,71
30007,86,82,91,89,85,75,85,79,88,82
30010,81,78,88,88,77,69,83,77,81,73
30011,76,72,83,84,72,64,80,74,77,72
30012,85,84,90,86,84,72,85,78,85,74
30013,84,84,88,87,79,67,80,78,87,83
30014,88,87,91,89,83,75,86,80,88,79
30016,86,83,89,88,77,75,85,78,83,80
30022,83,80,87,87,76,72,83,78,74,68
30023,87,87,90,91,82,77,84,81,81,77
30024,89,90,92,90,82,75,86,81,83,82
30030,77,73,83,82,74,64,71,69,83,74
30036,90,89,92,89,86,78,90,82,87,82
30037,81,78,89,89,77,67,82,77,82,78
30038,89,90,91,90,85,76,87,81,82,77
30043,85,82,89,88,79,73,83,78,89,83
30055,85,84,90,89,84,74,86,78,88,80
30061,85,84,88,88,80,70,83,79,79,72
30062,86,84,90,86,83,73,82,78,90,83
30064,86,86,88,88,77,75,84,79,83,79
30065,85,82,88,86,74,69,81,77,76,79
30069,82,78,89,87,79,73,83,76,81,78
30071,90,81,90,90,85,78,82,80,87,90
30073,87,87,88,90,84,80,81,79,84,77
30078,90,86,93,94,87,80,85,80,85,85
30083,78,73,85,84,74,69,78,75,79,77
30084,83,78,86,88,81,82,78,76,82,81
30085,78,76,85,84,75,68,78,74,76,70
30087,89,90,92,91,82,75,87,82,84,80
30088,84,83,88,85,73,69,82,78,84,79
30089,86,85,89,87,78,71,83,78,82,81
30092,88,88,91,88,82,75,87,80,84,76
30093,84,84,88,87,78,71,84,79,84,75
30094,80,78,86,87,74,66,82,76,78,74
30101,80,78,87,84,78,69,76,74,81,74
30103,97,98,95,95,91,82,93,88,91,90
30105,88,90,91,88,82,71,84,79,83,76
30107,93,94,96,93,92,83,93,86,92,87
30108,90,89,92,90,88,80,89,82,87,84
30110,77,73,85,83,77,65,79,73,73,71
30111,84,82,87,88,75,74,81,77,75,72
30112,95,95,96,93,94,88,92,87,92,90
30113,89,86,88,91,80,80,78,77,87,81
30114,84,83,88,86,78,73,85,78,80,77
30115,89,87,91,90,81,74,84,79,85,85
30117,89,87,91,85,87,76,84,80,92,84
30119,91,90,92,89,85,76,88,82,88,84
30121,81,78,86,87,77,69,84,76,80,79
30122,89,89,90,89,82,74,86,81,84,86
30123,93,94,94,92,86,78,88,82,86,85
03012F,87,85,92,92,85,81,89,82,83,75
30130,89,89,91,89,85,77,87,81,88,87
30131,93,93,93,93,88,82,92,85,90,84
30134,91,89,93,90,87,77,88,82,85,84
30139,91,90,93,88,87,79,88,83,90,89
03013F,90,89,92,91,83,81,85,82,88,78
30146,93,93,93,92,84,78,87,83,92,86
30147,88,87,90,88,83,74,82,79,82,87
30148,87,86,90,88,82,71,82,78,83,82
03033F,92,93,95,93,90,85,91,85,92,86
31314,88,87,90,87,84,76,82,79,90,83
31317,89,88,93,90,86,70,82,79,85,85
31318,90,88,92,88,88,80,90,82,88,84
31319,91,89,93,93,90,77,90,83,88,85
40001,89,85,93,90,84,79,85,80,88,86
40002,88,86,91,91,87,73,86,81,87,90
40004,89,89,90,91,83,74,85,81,85,84
40007,84,83,88,90,78,69,84,78,73,81
40010,90,92,91,91,84,73,84,82,91,82
40011,90,87,92,94,87,78,81,81,87,90
40014,86,84,89,89,81,74,84,79,83,85
40016,89,90,91,91,82,79,86,81,85,85
40017,86,83,92,92,85,76,85,81,93,85
40019,84,82,90,88,85,82,73,80,83,89
40020,89,89,92,93,82,73,86,81,82,85
40022,87,86,91,89,82,74,84,80,89,84
40026,88,87,90,90,81,75,84,80,85,82
40027,89,90,91,90,84,76,87,82,79,86
40029,90,90,93,93,85,78,85,83,86,85
40036,81,80,86,89,79,70,80,77,70,74
40039,85,82,88,90,79,73,82,77,83,84
40041,85,82,91,90,83,76,87,79,80,83
40050,82,77,88,91,80,72,80,78,77,81
40051,89,87,94,96,84,80,80,81,85,86
40055,84,83,88,87,79,70,83,77,77,80
40062,87,87,91,88,84,73,83,79,83,76
40067,89,85,93,95,87,86,87,82,92,93
40069,82,77,87,84,82,70,80,76,79,80
40071,87,83,89,91,84,74,84,79,83,88
40078,83,83,87,85,77,68,82,75,83,81
40084,84,81,86,90,78,72,83,79,85,86
04009F,94,94,96,96,93,84,91,88,93,90
04010F,89,88,91,91,83,80,87,83,85,78
40114,86,86,89,91,79,72,83,79,74,83
40118,90,91,91,91,84,74,86,81,85,87
